AGNO,RBD,DGV_RBD,NOM_RBD,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,ESTADO_ESTAB,DC_A,HH_A,DC_UTP,HH_UTP,DC_PDIR,HH_PDIR,DC_DIR,HH_DIR,DC_OES,HH_OES,DC_OF,HH_OF,DC_JUTP,HH_JUTP,DC_IG,HH_IG,DC_OR,HH_OR,DC_DIR_SOST,HH_DIR_SOST,DC_TP_SOST,HH_TP_SOST,DC_SUP_SOST,HH_SUP_SOST,DC_SUBDIR,HH_SUBDIR,DC_PROF_ENC,HH_PROF_ENC,DC_EDUC_TRAD,HH_EDUC_TRAD,DC_TOT,"HH_TOT,",mat_hom_1,mat_muj_1,mat_ens_1,mat_hom_2,mat_muj_2,mat_ens_2,mat_hom_3,mat_muj_3,mat_ens_3,mat_hom_4,mat_muj_4,mat_ens_4,mat_hom_5,mat_muj_5,mat_ens_5,mat_hom_6,mat_muj_6,mat_ens_6,mat_hom_7,mat_muj_7,mat_ens_7,mat_hom_8,mat_muj_8,mat_ens_8,mat_hom_tot,mat_muj_tot,mat_total
2018,26207,2,ESCUELA BASICA FEN MAPU,13,134,13401,SAN BERNARDO,132,SANTIAGO SUR,4,3,0,1,13,420,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,464,24,31,55,91,77,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,108,223
2018,26208,0,ESCUELA DE PARV. JARDIN INFANTIL MIRO,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26209,9,COLEGIO SAN JUAN DIEGO DE GUADALUPE,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,40,1379,1,44,1,44,1,44,6,264,0,0,1,44,2,69,1,42,0,0,0,0,0,0,0,0,0,0,2,88,55,2018,0,0,0,283,218,501,0,0,0,0,0,0,49,41,90,63,56,119,0,0,0,0,0,0,395,315,710
2018,26210,2,ESCUELA BASICA NÂ°2171 LA VILLETE,13,131,13114,LAS CONDES,133,SANTIAGO ORIENTE,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26211,0,ESCUELA DE PARVULOS N193 VALLE DEL SOL,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
2018,26212,9,ESC. DE PARVULOS JARD. INFANTIL ARTISTICO VAL,13,132,13201,PUENTE ALTO,136,CORDILLERA,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,0,1,44,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
2018,26213,7,COLEGIO O`HIGGINS,13,135,13501,MELIPILLA,135,TALAGANTE,3,2,0,1,15,335,0,0,0,0,1,44,0,0,0,0,1,44,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,453,30,33,63,0,0,0,0,0,0,0,0,0,76,56,132,0,0,0,0,0,0,0,0,0,106,89,195
2018,26214,5,CENTRO DE EDUCACIÃ“N DE ADULTOS BERNARDO OÂ´HIGGINS DE MAIPÃš,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,10,224,0,0,0,0,1,42,0,0,0,0,0,0,2,52,0,0,0,0,0,0,0,0,1,25,0,0,0,0,14,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,140,332,0,0,0,0,0,0,192,140,332
2018,26215,3,ESCUELA DE PARV. ESTRELLITAS MAGICAS,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,4,3,0,2,3,132,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26216,1,ESCUELA DE PARV. MUSICAL GARFIELD,13,131,13128,RENCA,134,SANTIAGO PONIENTE,3,2,0,1,3,104,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,136,18,21,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,39
2018,26218,8,ESCUELA DE PARV. MI FANTASIA,13,131,13119,MAIPU,134,SANTIAGO PONIENTE,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,26219,6,CENTRO EDUC. GOYENECHEA,13,131,13128,RENCA,134,SANTIAGO PONIENTE,3,2,0,1,29,955,1,44,0,0,1,44,0,0,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,30,33,1117,21,22,43,178,146,324,0,0,0,0,0,0,34,49,83,59,72,131,18,35,53,0,0,0,310,324,634
2018,26221,8,ESCUELA DE PARV. TIO RICO,13,131,13110,LA FLORIDA,136,CORDILLERA,3,2,0,1,1,44,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,88,10,8,18,0,0,0,0,0,0,25,17,42,0,0,0,0,0,0,0,0,0,0,0,0,35,25,60
2018,26222,6,ESCUELA ESP. SANTA MARIA DE EL BOSQUE,13,131,13105,EL BOSQUE,132,SANTIAGO SUR,3,2,0,1,7,308,0,0,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,352,0,0,0,0,0,0,0,0,0,76,51,127,0,0,0,0,0,0,0,0,0,0,0,0,76,51,127
