AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;ESTADO_ESTAB;DC_A;HH_A;DC_UTP;HH_UTP;DC_PDIR;HH_PDIR;DC_DIR;HH_DIR;DC_OES;HH_OES;DC_OF;HH_OF;DC_JUTP;HH_JUTP;DC_IG;HH_IG;DC_OR;HH_OR;DC_DIR_SOST;HH_DIR_SOST;DC_TP_SOST;HH_TP_SOST;DC_SUP_SOST;HH_SUP_SOST;DC_SUBDIR;HH_SUBDIR;DC_PROF_ENC;HH_PROF_ENC;DC_EDUC_TRAD;HH_EDUC_TRAD;DC_TOT;HH_TOT,
2018;10760;3;ESCUELA REPUBLICA DE ISRAEL;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;0;1;20;682;0;0;1;44;1;44;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;814
2018;10761;1;ESCUELA BASICA JULIO COVARRUBIAS FREIRE;13;136;13604;PADRE HURTADO;135;TALAGANTE;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10763;8;ESCUELA CRISTAL CHILE;13;136;13604;PADRE HURTADO;135;TALAGANTE;2;1;0;1;18;631;0;0;0;0;1;44;2;33;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;796
2018;10764;6;ESCUELA LA ESPERANZA;13;136;13604;PADRE HURTADO;135;TALAGANTE;2;1;1;1;21;801;1;44;0;0;1;44;2;78;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;1011
2018;10765;4;ESCUELA BASICA G-N°673 PELVIN SAN FRANCISCO DE ASIS;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;1;1;6;185;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;273
2018;10766;2;ESCUELA DOLORES CATTIN FAUNDEZ;13;136;13605;PEÑAFLOR;135;TALAGANTE;2;1;1;1;9;316;0;0;0;0;1;44;2;68;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;13;472
2018;10767;0;ESCUELA BAS. PART. MALLOCO;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;16;567;1;38;0;0;1;34;0;0;0;0;1;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;673
2018;10768;9;ESCUELA BASICA N 41 AUGUSTO D`HALMAR;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;26;787;1;30;1;44;1;44;3;87;0;0;1;18;0;0;0;0;0;0;0;0;0;0;1;44;0;0;1;31;35;1085
2018;10769;7;ESC.BASICA PART.BENJAMIN VERGARA;13;136;13604;PADRE HURTADO;135;TALAGANTE;3;2;0;1;24;773;1;39;0;0;1;44;1;44;0;0;0;0;2;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;964
2018;10771;9;ESCUELA BAS. PART. COLEGIO CLAUDIO GAY;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;12;446;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;534
2018;10772;7;COL.PART.INMAC.CONC. DE NTRA.SRA. DE LOURDES;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;41;1224;2;84;1;44;1;44;2;79;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;49;1563
2018;10773;5;COMPLEJO EDUC.PART. LUIS PASTEUR;13;136;13604;PADRE HURTADO;135;TALAGANTE;3;2;0;1;66;2372;2;57;0;0;1;44;4;155;0;0;2;82;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77;2798
2018;10774;3;ESCUELA PARTICULAR EL REFUGIO;13;136;13605;PEÑAFLOR;135;TALAGANTE;3;2;0;1;14;419;0;0;0;0;1;44;0;0;0;0;0;0;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;501
2018;10777;8;COLEGIO TERRANOVA;13;136;13605;PEÑAFLOR;135;TALAGANTE;4;3;0;1;19;531;0;0;2;54;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;23;659
2018;10778;6;ESCUELA SAN MIGUEL;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;10;422;1;44;0;0;1;44;0;0;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;598
2018;10779;4;ESCUELA LUIS DURAN REYES;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10780;8;LICEO POLIV. HNOS. SOTOMAYOR BAEZA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;76;2566;1;44;2;74;1;44;1;10;1;44;3;115;3;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;3026
2018;10781;6;LICEO POLITECNICO MUNICIPAL MELIPILLA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;44;1577;2;88;0;0;1;44;4;126;2;88;1;44;3;132;1;44;0;0;0;0;0;0;0;0;0;0;0;0;58;2143
2018;10782;4;ESCUELA IGNACIO SERRANO MONTANER;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;16;637;1;44;0;0;1;44;4;144;1;44;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;957
2018;10783;2;LICEO GABRIELA MISTRAL DE MELIPILLA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;52;1965;1;44;0;0;1;44;0;0;1;44;2;88;2;84;1;20;0;0;0;0;0;0;0;0;0;0;0;0;60;2289
2018;10784;0;COLEGIO HUILCO ALTO;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;17;594;1;44;0;0;1;44;3;104;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;874
2018;10785;9;COLEGIO MONS. JAIME LARRAIN BUNSTER;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;17;643;3;131;0;0;1;44;2;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;878
2018;10786;7;ESCUELA SAN JOSE DE LA VILLA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;25;935;0;0;0;0;1;44;1;44;2;88;1;44;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;1243
2018;10787;5;COLEGIO HERNAN ARISTIA BASCUNAN;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;10789;1;ESCUELA GRAL. CAROL URZUA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;17;629;0;0;1;44;1;44;5;198;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;959
2018;10790;5;ESCUELA REPUBLICA DEL BRASIL;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;0;1;27;1063;0;0;1;44;1;44;4;153;0;0;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;1436
2018;10791;3;COLEGIO POMAIRE;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;31;1305;0;0;0;0;1;44;4;131;0;0;2;88;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;1612
2018;10792;1;LICEO POLIV. EL BOLLENAR;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;45;1580;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;49;1756
2018;10794;8;ESCUELA SANTA ROSA ESMERALDA;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;21;743;0;0;1;44;1;44;1;40;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;959
2018;10795;6;ESCUELA CLAUDIO ARRAU;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;14;511;0;0;0;0;1;44;8;308;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;951
2018;10796;4;ESCUELA PATRICIO LARRAIN GANDARILLAS;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;17;670;1;44;0;0;1;44;0;0;0;0;0;0;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;802
2018;10797;2;ESCUELA PEDRO MARIN ALEMANY;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;18;676;1;44;0;0;1;44;1;40;0;0;0;0;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;892
2018;10798;0;ESCUELA BASICA CARMEN BAJO;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;11;416;0;0;0;0;1;44;4;162;0;0;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;710
2018;10799;9;ESCUELA RAMON NOGUERA PRIETO;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;17;640;1;44;0;0;1;44;3;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;856
2018;10800;6;ESCUELA CHOLQUI;13;135;13501;MELIPILLA;135;TALAGANTE;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
